case_id,site_id,candidate_id,uid,role,ordinary_completed,ordinary_repeats,ordinary_prefixes,L1_found,L1_rho_upper_bound,L1_initial_path_verified,L1_selected_run,L5_found,L5_rho_upper_bound,L5_initial_path_verified,L5_selected_run,L10_found,L10_rho_upper_bound,L10_initial_path_verified,L10_selected_run,L30_found,L30_rho_upper_bound,L30_initial_path_verified,L30_selected_run
state_14_candidate_00,state_14,candidate_00,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,focal,4,5,"[30, 27, 30, 30, 30]",True,0.06388471731624085,True,runs/state_14_candidate_00_L1_hold.json,True,0.09316835456175054,True,runs/state_14_candidate_00_L5_historical_prefix.json,True,0.09880286787458542,True,runs/state_14_candidate_00_L10_dls_prediction.json,True,0.11304982771602848,True,runs/state_14_candidate_00_L30_dls_prediction.json
state_14_candidate_01,state_14,candidate_01,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,focal,5,5,"[30, 30, 30, 30, 30]",True,0.06411648063226172,True,runs/state_14_candidate_01_L1_hold.json,True,0.09351269088682479,True,runs/state_14_candidate_01_L5_hold.json,True,0.09925072186816081,True,runs/state_14_candidate_01_L10_historical_prefix.json,True,0.11543093167491977,True,runs/state_14_candidate_01_L30_dls_prediction.json
state_14_candidate_02,state_14,candidate_02,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,focal,1,5,"[27, 27, 27, 30, 27]",True,0.06366102558865329,True,runs/state_14_candidate_02_L1_hold.json,True,0.09282728990100556,True,runs/state_14_candidate_02_L5_historical_prefix.json,True,0.09838684803218882,True,runs/state_14_candidate_02_L10_historical_prefix.json,True,0.10956863727733095,True,runs/state_14_candidate_02_L30_dls_prediction.json
state_14_candidate_03,state_14,candidate_03,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,focal,5,5,"[30, 30, 30, 30, 30]",True,0.06434160416228327,True,runs/state_14_candidate_03_L1_historical_prefix.json,True,0.09386117244700813,True,runs/state_14_candidate_03_L5_historical_prefix.json,True,0.0997354380597377,True,runs/state_14_candidate_03_L10_historical_prefix.json,True,0.11775520552936146,True,runs/state_14_candidate_03_L30_dls_prediction.json
state_14_candidate_04,state_14,candidate_04,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,focal,0,5,"[27, 27, 27, 27, 27]",True,0.06344739077815893,True,runs/state_14_candidate_04_L1_historical_prefix.json,True,0.09248864938786168,True,runs/state_14_candidate_04_L5_dls_prediction.json,True,0.09799877166399087,True,runs/state_14_candidate_04_L10_dls_prediction.json,True,0.10714511083725738,True,runs/state_14_candidate_04_L30_dls_prediction.json
state_14_candidate_05,state_14,candidate_05,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,focal,5,5,"[30, 30, 30, 30, 30]",True,0.06397656893507463,True,runs/state_14_candidate_05_L1_historical_prefix.json,True,0.09330564781930757,True,runs/state_14_candidate_05_L5_hold.json,True,0.09897793399671063,True,runs/state_14_candidate_05_L10_hold.json,True,0.11399870763970592,True,runs/state_14_candidate_05_L30_dls_prediction.json
state_18_candidate_00,state_18,candidate_00,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,focal,0,5,"[16, 16, 16, 16, 16]",True,0.10249826209315846,True,runs/state_18_candidate_00_L1_dls_prediction.json,True,0.1202326654599134,True,runs/state_18_candidate_00_L5_dls_prediction.json,True,0.126819485009298,True,runs/state_18_candidate_00_L10_hold.json,False,,False,
state_18_candidate_01,state_18,candidate_01,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,focal,0,5,"[16, 16, 16, 16, 16]",True,0.10275552199928452,True,runs/state_18_candidate_01_L1_hold.json,True,0.12071453152377337,True,runs/state_18_candidate_01_L5_hold.json,True,0.12736948602843004,True,runs/state_18_candidate_01_L10_historical_prefix.json,True,0.1922317769952728,True,runs/state_18_candidate_01_L30_dls_prediction.json
state_18_candidate_02,state_18,candidate_02,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,focal,0,5,"[16, 16, 16, 16, 16]",True,0.10223007969259634,True,runs/state_18_candidate_02_L1_historical_prefix.json,True,0.11979847828528978,True,runs/state_18_candidate_02_L5_dls_prediction.json,True,0.1262660077691933,True,runs/state_18_candidate_02_L10_historical_prefix.json,False,,False,
state_18_candidate_03,state_18,candidate_03,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,focal,0,5,"[16, 16, 16, 16, 16]",True,0.10300208199923576,True,runs/state_18_candidate_03_L1_dls_prediction.json,True,0.1212426977200973,True,runs/state_18_candidate_03_L5_dls_prediction.json,True,0.1279161094992599,True,runs/state_18_candidate_03_L10_dls_prediction.json,True,0.18953028550249518,True,runs/state_18_candidate_03_L30_dls_prediction.json
